index,review_title,rating
651,Superb,9.2
652,Passable,5.4
653,Superb,9
654,Exceptional,10
655,I would encourage anyone looking to stay in Bruges to book this B&B. We will definitely be doing so.,10
656,perfect vacation,8.8
657,Best location. Comfortable small room.,9.6
658,Great 1-night stay which allowed us to explore the main sites of Brussels,9
659,Very good,8
660,Superb,9
661,very pleasant stay in lakeside hotel,8
662,Lovely and very comfortable place we loved it aoo much,9.6
663,Very good,8
664,Exceptional,9.5
665,Exceptional,10
666,Exceptional,9.6
667,Exceptional,10
668,"It is a comfortable stay , with a little high price.",7.1
669,Very good,8
670,Superb,9.2
671,Superb,9
672,Exceptional,10
673,Good,7.5
674,Disappointing,4.2
675,Exceptional,10
676,Superb,9.2
677,Owner and staffs are very friendly,
678,It is definitely worth to come back again,
679,Okay,5.8
680,Brussels stay,7.5
681,Superb,9
682,Superb,9
683,Very good,8
684,Exceptional,10
685,Exceptional,9.6
686,Superb,9.2
687,The best B&B we stayed,10
688,a few relaxing days at the sea side,9.6
689,Exceptional,10
690,Exceptional,10
691,Exceptional,10
692,Fabulous,8.8
693,"Great place to stay a mid-week with family and kids, especially the studio and family room.",9
694,Lovely hotel in peace and quite.,10
695,Exceptional,9.6
696,Exceptional,10
697,Disappointing,4.2
698,Good choice for a stay in central Brussels,9.6
699,Very good,8
700,Good quality price,9
701,A bit pricey for what it is... but fine,7
702,Exceptional,10
703,Great hotel,9.6
704,Beautiful Brugge,10
705,"Perfect to spend a (long) weekend in beautiful Ghent, excellent location against affordable prices.",10
706,"Will use again, met all expectations",10
707,Good,7
708,"Magical, couldn’t have been better!",10
709,Pure nature for sure we will be back there,8
710,Great find on long journey!,9.6
711,Hot and sticky,5
712,Pleasant,6.7
713,Very good,8.3
714,Fabulous,8.8
715,Wondferful!,10
716,Good for weekend,7.1
717,Exceptional,10
718,Passable,5
719,Poor,3.8
720,Good,7.5
721,Superb,9
722,An amazing place with a great host,10
723,Decent,8
724,Exceptional,10
725,GREAT WEEKEND!,9.6
726,Poor,3.8
727,Fabulous,8.8
728,Exceptional,9.6
729,Simon UK 🇬🇧,10
730,Good,7
731,Beautiful and charming local hotel,8.3
732,Basic Hotel with basic facilities,5.8
733,Super!,10
734,Will book them again if we do go to BRU again,9.6
735,Very good,8
736,Fabulous,8.8
737,Fabulous,8.8
738,Exceptional,10
739,Check-out time very early 10.00 am,
740,Exceptional,10
741,"Great room, great furniture, great comfort!",9
742,Exceptional,10
743,"Perfect location, parking and friendly hosts, nice stay!",9
744,Nice hotel for a one-night stop. Perfect location for a quick tour of Gent.,8
745,Exceptional,10
746,Exceptional,10
747,Amazing Host! Great Location! Would Stay Again!,9.2
748,Fabulous,8.8
749,Superb,9.2
750,Good,7.1
751,Very poor,1
752,Exceptional,10
753,Exceptional,10
754,Very good,8
755,Very good,8.3
756,Superb,9.2
757,The host is an incredibly welcoming woman who will make sure you get the most out of your experience,10
758,"Pleasant, quiet hotel with parking and restaurant, just outside city center.",7.5
759,Superb,9.2
760,Good for a short stay,6
761,Decent place to stay,8
762,Superb,9
763,Very good value for money,8.8
764,"Well located, great host, clean, very comfortable and yummy breakfast with local and great products.",10
765,Great stay for a weekend,9
766,Very good,8
767,Good for the price,8.3
768,Exceptional,10
769,Exceptional,10
770,"A modern, minimalistic oasis set in an ancient Belgian town!",9.2
771,Hiking in Florenville and wider,9.6
772,Superb,9.2
773,Superb,9
774,Exceptional,10
775,Passable,5.4
776,Exceptional,10
777,Met all our expectations,9
778,Marveaux is beau,8.3
779,Good,7.5
780,Exceptional,10
781,Very good,8.3
782,"Beautiful view, excellent hotel, at a good value.",10
783,Disappointing,4.6
784,Romantisch!,10
785,Very good,8
786,Friendly hosts and reasonable price,9
787,Excellent staying at IBIS Hotel,9
788,Exceptional,10
789,Superb,9
790,Good,7.5
791,Exceptional,10
792,Great little house near everything. Maria is an excellent hostesses and helpful.,9.6
793,The stay was adequate for a single night en route to elsewhere.,7.5
794,The hotel was good although the restaurant was not open at night.,6.7
795,Exceptional,10
796,"Mooie setting, aangename ontvangst en bediening!",10
797,Very good,8
798,"Good location (public parking close), friendly staff and great value for money !",10
799,Superb,9
800,Never again.,4
801,Amazing.,10
802,Very good,8
803,Superb,9.2
804,Very good,8
805,Exceptional,10
806,"Beautiful location and rooms with lake views, comfortable beds and friendly and welcoming staff.",9.2
807,Superb,9
808,Superb,9
809,Superb,9
810,Very good,8
811,Superb,9
812,Exceptional,10
813,Good,7
814,"Very good hotel, but should be better compared to its price.",7.9
815,Exceptional,9.6
816,Good location.  Good price.  Good host,8.3
817,Very good,8.3
818,Fabulous,8.8
819,Exceptional,10
820,Superb,9
821,Disappointing,4
822,It was acceptable for the price,5
